"","Growth","Tree","Time","Age"
"1",1.06860545252134,"Pr1311","1816","1"
"2",0.961596779135213,"Pr1311","1817","2"
"3",1.13032161680661,"Pr1311","1818","3"
"4",0.976980617021518,"Pr1311","1819","4"
"5",1.185828326578,"Pr1311","1820","5"
"6",1.40149303639602,"Pr1311","1821","6"
"7",1.19103447457921,"Pr1311","1822","7"
"8",1.22771445430105,"Pr1311","1823","8"
"9",1.2157786159687,"Pr1311","1824","9"
"10",1.34273396257836,"Pr1311","1825","10"
"11",1.35570112259768,"Pr1311","1826","11"
"12",1.40209231136605,"Pr1311","1827","12"
"13",1.43888551630173,"Pr1311","1828","13"
"14",1.5771606533624,"Pr1311","1829","14"
"15",1.28314773047383,"Pr1311","1830","15"
"16",1.05487855147094,"Pr1311","1831","16"
"17",0.944715413244065,"Pr1311","1832","17"
"18",1.09803082887444,"Pr1311","1833","18"
"19",1.20692140383923,"Pr1311","1834","19"
"20",1.18684843787865,"Pr1311","1835","20"
"21",1.02010253742241,"Pr1311","1836","21"
"22",1.02611046222616,"Pr1311","1837","22"
"23",1.20069649082146,"Pr1311","1838","23"
"24",1.41953929098159,"Pr1311","1839","24"
"25",0.942039620448007,"Pr1311","1840","25"
"26",1.41884733609974,"Pr1311","1841","26"
"27",1.32030452908737,"Pr1311","1842","27"
"28",1.36146268401825,"Pr1311","1843","28"
"29",1.18947220789873,"Pr1311","1844","29"
"30",1.34575538813369,"Pr1311","1845","30"
"31",1.31652688471179,"Pr1311","1846","31"
"32",1.51591900725516,"Pr1311","1847","32"
"33",1.22108620973197,"Pr1311","1848","33"
"34",1.49523703508901,"Pr1311","1849","34"
"35",1.6215297713906,"Pr1311","1850","35"
"36",1.24640560491837,"Pr1311","1851","36"
"37",1.37957019476913,"Pr1311","1852","37"
"38",1.4575023227323,"Pr1311","1853","38"
"39",1.84803391252594,"Pr1311","1854","39"
"40",1.97080775185788,"Pr1311","1855","40"
"41",1.7056350323173,"Pr1311","1856","41"
"42",1.59418381806651,"Pr1311","1857","42"
"43",1.5992114418,"Pr1311","1858","43"
"44",1.74344497409737,"Pr1311","1859","44"
"45",1.42206496708259,"Pr1311","1860","45"
"46",1.57398943320731,"Pr1311","1861","46"
"47",2.00063429652304,"Pr1311","1862","47"
"48",2.21022382661166,"Pr1311","1863","48"
"49",1.76091214301565,"Pr1311","1864","49"
"50",1.55960013748946,"Pr1311","1865","50"
"51",1.29615300500767,"Pr1311","1866","51"
"52",1.3158213594486,"Pr1311","1867","52"
"53",1.55561408782046,"Pr1311","1868","53"
"54",1.8827131722011,"Pr1311","1869","54"
"55",1.92019049497938,"Pr1311","1870","55"
"56",1.80481370412509,"Pr1311","1871","56"
"57",1.95453087243918,"Pr1311","1872","57"
"58",1.87869702850391,"Pr1311","1873","58"
"59",1.35565655208552,"Pr1311","1874","59"
"60",1.58026817990001,"Pr1311","1875","60"
"61",1.92711028799431,"Pr1311","1876","61"
"62",1.61054071445368,"Pr1311","1877","62"
"63",1.47110530313512,"Pr1311","1878","63"
"64",1.37675112072546,"Pr1311","1879","64"
"65",1.228766660016,"Pr1311","1880","65"
"66",1.30795259641063,"Pr1311","1881","66"
"67",1.26274819291297,"Pr1311","1882","67"
"68",0.95525513687035,"Pr1311","1883","68"
"69",1.19355665811404,"Pr1311","1884","69"
"70",0.91709778285592,"Pr1311","1885","70"
"71",0.673483025393973,"Pr1311","1886","71"
"72",0.97422271250005,"Pr1311","1887","72"
"73",0.96899249399433,"Pr1311","1888","73"
"74",0.792184794020232,"Pr1311","1889","74"
"75",0.981762821902891,"Pr1311","1890","75"
"76",0.54852098807593,"Pr1311","1891","76"
"77",0.671335308418449,"Pr1311","1892","77"
"78",0.714496009042377,"Pr1311","1893","78"
"79",0.761591117680033,"Pr1311","1894","79"
"80",0.681966737928261,"Pr1311","1895","80"
"81",0.644366363730833,"Pr1311","1896","81"
"82",0.6906498576509,"Pr1311","1897","82"
"83",0.577843670685539,"Pr1311","1898","83"
"84",0.620786032053831,"Pr1311","1899","84"
"85",0.401680530420524,"Pr1311","1900","85"
"86",0.620681093723979,"Pr1311","1901","86"
"87",0.502062509988365,"Pr1311","1902","87"
"88",0.819666153226809,"Pr1311","1903","88"
"89",0.6493872861898,"Pr1311","1904","89"
"90",0.605916525074256,"Pr1311","1905","90"
"91",0.656690070438731,"Pr1311","1906","91"
"92",0.875938422348034,"Pr1311","1907","92"
"93",0.885168045690947,"Pr1311","1908","93"
"94",0.875176742666713,"Pr1311","1909","94"
"95",0.858776524814706,"Pr1311","1910","95"
"96",0.895843838868422,"Pr1311","1911","96"
"97",0.610148722647007,"Pr1311","1912","97"
"98",0.839911867319757,"Pr1311","1913","98"
"99",1.03398231185682,"Pr1311","1914","99"
"100",0.98677171717482,"Pr1311","1915","100"
"101",1.05805254866497,"Pr1311","1916","101"
"102",1.06586507774074,"Pr1311","1917","102"
"103",0.738645388239501,"Pr1311","1918","103"
"104",0.754434546437492,"Pr1311","1919","104"
"105",0.788358997078785,"Pr1311","1920","105"
"106",0.84886865455158,"Pr1311","1921","106"
"107",0.878397219336511,"Pr1311","1922","107"
"108",1.1631945135927,"Pr1311","1923","108"
"109",1.01580581936553,"Pr1311","1924","109"
"110",0.915270731031916,"Pr1311","1925","110"
"111",0.850353551387124,"Pr1311","1926","111"
"112",0.556118642147762,"Pr1311","1927","112"
"113",0.73437821861772,"Pr1311","1928","113"
"114",1.24248168491209,"Pr1311","1929","114"
"115",0.429050226171936,"Pr1311","1930","115"
"116",0.901456571677693,"Pr1311","1931","116"
"117",0.536135919943818,"Pr1311","1932","117"
"118",0.79812840592108,"Pr1311","1933","118"
"119",0.632602526528094,"Pr1311","1934","119"
"120",0.183896454158723,"Pr1311","1935","120"
"121",0.282681400646163,"Pr1311","1936","121"
"122",0.195532256205745,"Pr1311","1937","122"
"123",0.0284770455904071,"Pr1311","1938","123"
"124",0.0841201544503971,"Pr1311","1939","124"
"125",0.114465230538442,"Pr1311","1940","125"
"126",0.135611573383463,"Pr1311","1941","126"
"127",0.114227101844725,"Pr1311","1942","127"
"128",0.194918016915462,"Pr1311","1943","128"
"129",0.191482634074782,"Pr1311","1944","129"
"130",0.321996034550046,"Pr1311","1945","130"
"131",0.344394790266071,"Pr1311","1946","131"
"132",0.527327816274643,"Pr1311","1947","132"
"133",0.216835178515394,"Pr1311","1948","133"
"134",0.3178795178075,"Pr1311","1949","134"
"135",0.290161262325933,"Pr1311","1950","135"
"136",0.251949239771269,"Pr1311","1951","136"
"137",0.234677055853883,"Pr1311","1952","137"
"138",0.312960509163152,"Pr1311","1953","138"
"139",0.359657942865166,"Pr1311","1954","139"
"140",0.404440678467835,"Pr1311","1955","140"
"141",0.640183550973781,"Pr1311","1956","141"
"142",0.689562759527612,"Pr1311","1957","142"
"143",0.55094280568669,"Pr1311","1958","143"
"144",0.414657667999893,"Pr1311","1959","144"
"145",0.551972141858777,"Pr1311","1960","145"
"146",0.598031481511773,"Pr1311","1961","146"
"147",0.633375660534451,"Pr1311","1962","147"
"148",0.856862753412485,"Pr1311","1963","148"
"149",0.672956094940192,"Pr1311","1964","149"
"150",0.800552825244305,"Pr1311","1965","150"
"151",0.864547411291272,"Pr1311","1966","151"
"152",0.704513128018814,"Pr1311","1967","152"
"153",0.867658277977603,"Pr1311","1968","153"
"154",0.782138287385753,"Pr1311","1969","154"
"155",0.840792481904901,"Pr1311","1970","155"
"156",0.861312430113869,"Pr1311","1971","156"
"157",0.646875539627305,"Pr1311","1972","157"
"158",0.702122432709083,"Pr1311","1973","158"
"159",0.713883661332747,"Pr1311","1974","159"
"160",0.670677539085918,"Pr1311","1975","160"
"161",0.792932176672308,"Pr1311","1976","161"
"162",0.685995406320626,"Pr1311","1977","162"
"163",0.500172084220308,"Pr1311","1978","163"
"164",0.441836180685266,"Pr1311","1979","164"
"165",0.579115380520779,"Pr1311","1980","165"
"166",0.695655286839621,"Pr1311","1981","166"
"167",0.622993677891622,"Pr1311","1982","167"
"168",0.737761499353917,"Pr1311","1983","168"
"169",0.849474964060977,"Pr1311","1984","169"
"170",0.590206380687582,"Pr1311","1985","170"
"171",0.723553276363811,"Pr1311","1986","171"
"172",0.859408819220789,"Pr1311","1987","172"
"173",1.10528835821946,"Pr1311","1988","173"
"174",0.77439452717272,"Pr1311","1989","174"
"175",0.661925920582402,"Pr1311","1990","175"
"176",0.694309408735005,"Pr1311","1991","176"
"177",0.680827973847491,"Pr1311","1992","177"
"178",0.798376308218393,"Pr1311","1993","178"
"179",0.8249089307338,"Pr1311","1994","179"
"180",0.824695077996906,"Pr1311","1995","180"
"181",0.732490048357293,"Pr1311","1996","181"
"182",1.01798418086322,"Pr1311","1997","182"
"183",1.15777553637537,"Pr1311","1998","183"
"184",1.36021580388256,"Pr1311","1999","184"
"185",1.43675391972758,"Pr1311","2000","185"
"186",1.24573442362602,"Pr1311","2001","186"
"187",1.43957479956291,"Pr1311","2002","187"
"188",1.55345534044466,"Pr1311","2003","188"
"189",1.46386504216693,"Pr1311","2004","189"
"190",1.6224047364155,"Pr1311","2005","190"
"191",1.88910739486038,"Pr1311","2006","191"
"192",1.34291169315757,"Pr1311","2007","192"
"193",1.18393650058188,"Pr1311","2008","193"
"194",1.87353297972398,"Pr1311","2009","194"
"195",1.47135509817976,"Pr1311","2010","195"
"196",1.14543249622149,"Pr1311","2011","196"
"197",0.879507856816779,"Pr1312","1820","1"
"198",1.02297658169466,"Pr1312","1821","2"
"199",0.986136216664804,"Pr1312","1822","3"
"200",1.12467914155504,"Pr1312","1823","4"
"201",1.01280532307879,"Pr1312","1824","5"
"202",1.10281333850354,"Pr1312","1825","6"
"203",1.14518359547565,"Pr1312","1826","7"
"204",1.02138665046349,"Pr1312","1827","8"
"205",1.11303018774235,"Pr1312","1828","9"
"206",1.20347560892206,"Pr1312","1829","10"
"207",1.03280799213667,"Pr1312","1830","11"
"208",1.04991922997147,"Pr1312","1831","12"
"209",1.14367301256184,"Pr1312","1832","13"
"210",1.09816943775201,"Pr1312","1833","14"
"211",0.828649564068559,"Pr1312","1834","15"
"212",1.13328326483678,"Pr1312","1835","16"
"213",1.12049888029402,"Pr1312","1836","17"
"214",1.22742376487582,"Pr1312","1837","18"
"215",1.06384569295513,"Pr1312","1838","19"
"216",1.2889130905982,"Pr1312","1839","20"
"217",1.30395104949162,"Pr1312","1840","21"
"218",1.22291893400924,"Pr1312","1841","22"
"219",1.27369145389081,"Pr1312","1842","23"
"220",1.41767513917384,"Pr1312","1843","24"
"221",1.53515607133043,"Pr1312","1844","25"
"222",1.47838562039036,"Pr1312","1845","26"
"223",1.26880985199026,"Pr1312","1846","27"
"224",0.952852795253178,"Pr1312","1847","28"
"225",1.08623941495248,"Pr1312","1848","29"
"226",1.26554603781396,"Pr1312","1849","30"
"227",1.23473496119019,"Pr1312","1850","31"
"228",1.08289217365333,"Pr1312","1851","32"
"229",0.947998506180514,"Pr1312","1852","33"
"230",0.860011190532318,"Pr1312","1853","34"
"231",0.795741395591339,"Pr1312","1854","35"
"232",0.865170943132042,"Pr1312","1855","36"
"233",0.750268737548292,"Pr1312","1856","37"
"234",0.70992216608948,"Pr1312","1857","38"
"235",0.84191196631811,"Pr1312","1858","39"
"236",0.882537342338792,"Pr1312","1859","40"
"237",0.898028004392816,"Pr1312","1860","41"
"238",1.08674195093428,"Pr1312","1861","42"
"239",1.06378410538726,"Pr1312","1862","43"
"240",1.03466645116976,"Pr1312","1863","44"
"241",1.24573098448941,"Pr1312","1864","45"
"242",0.861324106549954,"Pr1312","1865","46"
"243",0.871370836841508,"Pr1312","1866","47"
"244",0.830428988794943,"Pr1312","1867","48"
"245",0.863078801527197,"Pr1312","1868","49"
"246",1.12981949031498,"Pr1312","1869","50"
"247",1.00748818014482,"Pr1312","1870","51"
"248",1.06497160500338,"Pr1312","1871","52"
"249",1.04924102795307,"Pr1312","1872","53"
"250",0.814791447385705,"Pr1312","1873","54"
"251",1.1972088340884,"Pr1312","1874","55"
"252",1.13241743565738,"Pr1312","1875","56"
"253",1.26759443381764,"Pr1312","1876","57"
"254",1.20768141184911,"Pr1312","1877","58"
"255",1.31936464416673,"Pr1312","1878","59"
"256",1.06185692446879,"Pr1312","1879","60"
"257",0.925927730557145,"Pr1312","1880","61"
"258",1.02324340955705,"Pr1312","1881","62"
"259",1.1441791561316,"Pr1312","1882","63"
"260",1.0116632321939,"Pr1312","1883","64"
"261",1.37157943066119,"Pr1312","1884","65"
"262",1.36492277889845,"Pr1312","1885","66"
"263",1.20431077501895,"Pr1312","1886","67"
"264",1.07474191240522,"Pr1312","1887","68"
"265",1.5507805791757,"Pr1312","1888","69"
"266",1.548204339178,"Pr1312","1889","70"
"267",1.54696461171065,"Pr1312","1890","71"
"268",1.59948260610786,"Pr1312","1891","72"
"269",1.20675640573916,"Pr1312","1892","73"
"270",1.22716268307897,"Pr1312","1893","74"
"271",1.39942348723596,"Pr1312","1894","75"
"272",1.14359402888238,"Pr1312","1895","76"
"273",1.15958829097792,"Pr1312","1896","77"
"274",1.14877399758384,"Pr1312","1897","78"
"275",1.20914300279902,"Pr1312","1898","79"
"276",1.40496206736034,"Pr1312","1899","80"
"277",1.49841258477079,"Pr1312","1900","81"
"278",1.23001613231262,"Pr1312","1901","82"
"279",1.18168753129077,"Pr1312","1902","83"
"280",1.00827589222172,"Pr1312","1903","84"
