"","Growth","Tree","Time","Age"
"1",1.5305243391432,"Pr0701","1981","1"
"2",1.08131814669846,"Pr0701","1982","2"
"3",0.951095964179417,"Pr0701","1983","3"
"4",0.959286589189787,"Pr0701","1984","4"
"5",0.951411993840413,"Pr0701","1985","5"
"6",1.03285995125686,"Pr0701","1986","6"
"7",1.2795513388576,"Pr0701","1987","7"
"8",1.79986971646685,"Pr0701","1988","8"
"9",1.45874827604371,"Pr0701","1989","9"
"10",1.33244798069854,"Pr0701","1990","10"
"11",1.51944226905035,"Pr0701","1991","11"
"12",1.26072253923504,"Pr0701","1992","12"
"13",1.17792828427386,"Pr0701","1993","13"
"14",0.975334203380037,"Pr0701","1994","14"
"15",0.995217637579858,"Pr0701","1995","15"
"16",1.08307340437955,"Pr0701","1996","16"
"17",1.45785512954642,"Pr0701","1997","17"
"18",1.30524081938426,"Pr0701","1998","18"
"19",1.18013319724241,"Pr0701","1999","19"
"20",1.03931213058881,"Pr0701","2000","20"
"21",1.08658108579093,"Pr0701","2001","21"
"22",1.05718095557986,"Pr0701","2002","22"
"23",1.57653815584845,"Pr0701","2003","23"
"24",1.85005991709032,"Pr0701","2004","24"
"25",2.21173674069169,"Pr0701","2005","25"
"26",1.70366291783116,"Pr0701","2006","26"
"27",1.49262280896742,"Pr0701","2007","27"
"28",1.62516640095225,"Pr0701","2008","28"
"29",1.80867655473136,"Pr0701","2009","29"
"30",2.16921034965515,"Pr0701","2010","30"
"31",2.11524861157607,"Pr0701","2011","31"
"32",0.659765632308831,"Pr0702","1976","1"
"33",0.589691333812485,"Pr0702","1977","2"
"34",0.73410927004553,"Pr0702","1978","3"
"35",1.01945854453795,"Pr0702","1979","4"
"36",0.866969725636566,"Pr0702","1980","5"
"37",0.643729267225064,"Pr0702","1981","6"
"38",0.616391265310834,"Pr0702","1982","7"
"39",0.875014263247583,"Pr0702","1983","8"
"40",0.72328270194456,"Pr0702","1984","9"
"41",0.962018905660573,"Pr0702","1985","10"
"42",0.882309262228326,"Pr0702","1986","11"
"43",1.16011918708184,"Pr0702","1987","12"
"44",1.53369781823271,"Pr0702","1988","13"
"45",1.37851744175439,"Pr0702","1989","14"
"46",1.98219472699286,"Pr0702","1990","15"
"47",2.47637324104949,"Pr0702","1991","16"
"48",1.74911033507824,"Pr0702","1992","17"
"49",1.68559227342765,"Pr0702","1993","18"
"50",1.76491484920496,"Pr0702","1994","19"
"51",2.23768496849817,"Pr0702","1995","20"
"52",2.40875479094193,"Pr0702","1996","21"
"53",2.47763544375539,"Pr0702","1997","22"
"54",2.42463755825294,"Pr0702","1998","23"
"55",1.9960184040606,"Pr0702","1999","24"
"56",2.2454398457949,"Pr0702","2000","25"
"57",1.88552127709349,"Pr0702","2001","26"
"58",1.60763801515375,"Pr0702","2002","27"
"59",2.14138271792338,"Pr0702","2003","28"
"60",2.71724207422052,"Pr0702","2004","29"
"61",2.5072242252152,"Pr0702","2005","30"
"62",1.70451115359477,"Pr0702","2006","31"
"63",2.04669507092151,"Pr0702","2007","32"
"64",1.90646472893464,"Pr0702","2008","33"
"65",2.07057197045698,"Pr0702","2009","34"
"66",2.86948209125268,"Pr0702","2010","35"
"67",3.06469895921058,"Pr0702","2011","36"
"68",1.71187648639337,"Pr0703","1979","1"
"69",1.31932467291656,"Pr0703","1980","2"
"70",1.74965730019526,"Pr0703","1981","3"
"71",1.36656604742822,"Pr0703","1982","4"
"72",1.69326855941531,"Pr0703","1983","5"
"73",1.34639601331193,"Pr0703","1984","6"
"74",1.48371898206523,"Pr0703","1985","7"
"75",1.65436961123213,"Pr0703","1986","8"
"76",1.56582577004852,"Pr0703","1987","9"
"77",2.37879525967932,"Pr0703","1988","10"
"78",1.90004026490029,"Pr0703","1989","11"
"79",2.6484575671611,"Pr0703","1990","12"
"80",2.68145799160464,"Pr0703","1991","13"
"81",2.00085782316889,"Pr0703","1992","14"
"82",1.85291974023266,"Pr0703","1993","15"
"83",1.53061265658727,"Pr0703","1994","16"
"84",1.92435841171987,"Pr0703","1995","17"
"85",2.05701090230001,"Pr0703","1996","18"
"86",1.69251651206609,"Pr0703","1997","19"
"87",1.61550985577099,"Pr0703","1998","20"
"88",1.48013323229062,"Pr0703","1999","21"
"89",2.14420666853099,"Pr0703","2000","22"
"90",2.11355941095155,"Pr0703","2001","23"
"91",1.47104986853785,"Pr0703","2002","24"
"92",1.92709878516254,"Pr0703","2003","25"
"93",1.90228827191594,"Pr0703","2004","26"
"94",2.19550663769705,"Pr0703","2005","27"
"95",2.09220642528172,"Pr0703","2006","28"
"96",2.55972820389061,"Pr0703","2007","29"
"97",2.08457684700102,"Pr0703","2008","30"
"98",2.06761646919241,"Pr0703","2009","31"
"99",2.2712186391812,"Pr0703","2010","32"
"100",2.17177848482906,"Pr0703","2011","33"
"101",0.998308284840257,"Pr0704","1843","1"
"102",1.49963955504978,"Pr0704","1844","2"
"103",1.36982252034074,"Pr0704","1845","3"
"104",1.0113589440207,"Pr0704","1846","4"
"105",0.941520783463439,"Pr0704","1847","5"
"106",0.912226393829077,"Pr0704","1848","6"
"107",0.906229130588483,"Pr0704","1849","7"
"108",1.06032076001509,"Pr0704","1850","8"
"109",1.10240910322131,"Pr0704","1851","9"
"110",1.08472160905221,"Pr0704","1852","10"
"111",1.10515747899153,"Pr0704","1853","11"
"112",1.08499407706219,"Pr0704","1854","12"
"113",1.12834693362229,"Pr0704","1855","13"
"114",1.0741290348897,"Pr0704","1856","14"
"115",1.14978551554886,"Pr0704","1857","15"
"116",1.48307407576209,"Pr0704","1858","16"
"117",1.06075370628385,"Pr0704","1859","17"
"118",1.33434139246615,"Pr0704","1860","18"
"119",1.26532501492008,"Pr0704","1861","19"
"120",1.16832178140649,"Pr0704","1862","20"
"121",1.03267209208437,"Pr0704","1863","21"
"122",1.30794399984578,"Pr0704","1864","22"
"123",1.19333105672535,"Pr0704","1865","23"
"124",1.3269722955517,"Pr0704","1866","24"
"125",1.79890515835388,"Pr0704","1867","25"
"126",1.66649978238507,"Pr0704","1868","26"
"127",1.56129773449722,"Pr0704","1869","27"
"128",1.32816492357383,"Pr0704","1870","28"
"129",1.50813828434637,"Pr0704","1871","29"
"130",1.02185566345451,"Pr0704","1872","30"
"131",1.05546458029244,"Pr0704","1873","31"
"132",1.33438322297571,"Pr0704","1874","32"
"133",0.807196276854693,"Pr0704","1875","33"
"134",0.76706434315426,"Pr0704","1876","34"
"135",0.959355779964578,"Pr0704","1877","35"
"136",1.45805449926889,"Pr0704","1878","36"
"137",2.24099322640256,"Pr0704","1879","37"
"138",2.62415603690142,"Pr0704","1880","38"
"139",1.5641553822987,"Pr0704","1881","39"
"140",2.47788509553756,"Pr0704","1882","40"
"141",2.27280889643153,"Pr0704","1883","41"
"142",1.95328422079256,"Pr0704","1884","42"
